event1_id	event2_id	reltype
e1	e2	after
e10	e11	equal
e11	e12	contains
e12	e13	before
e13	e14	vague
e14	e15	vague
e21	e22	during
e27	e28	before
e31	e32	vague
e34	e35	vague
e36	e37	starts
e37	e38	during
e38	e39	equal
e39	e40	contains
e44	e45	before
e45	e46	after
e51	e52	after
e52	e53	before
e53	e54	before
e54	e55	before
e57	e58	before
e58	e59	after
e59	e60	before
e60	e61	after
e61	e62	during
e66	e67	vague
e67	e68	vague
e68	e69	before
e69	e70	after
e70	e71	during
e71	e72	includes
e72	e73	contains
e73	e74	before
