event1_sent_id	event1_index	event1_word	event1_id	event2_sent_id	event2_index	event2_word	event2_id	reltype
A015n_PN1d_00002-2	7	発表	e1	A015n_PN1d_00002-2	30	なり	e2	after
A015n_PN1d_00002-2	30	なり	e2	A015n_PN1d_00002-2	35	比べ	e3	before
A015n_PN1d_00002-2	35	比べ	e3	A015n_PN1d_00002-2	54	転じ	e4	before
A015n_PN1d_00002-2	54	転じ	e4	A015n_PN1d_00002-3	10	上昇	e5	after
A015n_PN1d_00002-3	10	上昇	e5	A015n_PN1d_00002-3	15	伴い	e6	before
A015n_PN1d_00002-3	15	伴い	e6	A015n_PN1d_00002-3	21	増え	e7	before
A015n_PN1d_00002-3	21	増え	e7	A015n_PN1d_00002-4	8	集計	e8	before
A015n_PN1d_00002-4	8	集計	e8	A015n_PN1d_00002-7	8	指揮	e9	during
A015n_PN1d_00002-7	45	語り	e11	A015n_PN1d_00002-7	51	公表	e12	before
A015n_PN1d_00002-7	51	公表	e12	A015n_PN1d_00002-7	75	凍結	e13	during
A015n_PN1d_00002-7	75	凍結	e13	A015n_PN1d_00002-7	88	打ち出す	e14	contains
A015n_PN1d_00002-7	88	打ち出す	e14	A015n_PN1d_00002-7	91	示し	e15	after
A015n_PN1d_00002-7	91	示し	e15	A015n_PN1d_00002-10	25	数え	e16	vague
A015n_PN1d_00002-10	25	数え	e16	A015n_PN1d_00002-10	31	調べる	e17	before
A015n_PN1d_00002-10	31	調べる	e17	A015n_PN1d_00002-10	42	開発	e18	after
A015n_PN1d_00002-10	42	開発	e18	A015n_PN1d_00002-11	11	商品	e19	before
A015n_PN1d_00002-11	11	商品	e19	A015n_PN1d_00002-12	11	蛍光	e20	vague
A015n_PN1d_00002-12	23	照らし	e22	A015n_PN1d_00002-12	30	解析	e23	before
A015n_PN1d_00002-13	8	使用	e25	A015n_PN1d_00002-13	22	抑え	e26	before
A015n_PN1d_00002-13	22	抑え	e26	A015n_PN1d_00002-13	25	いう	e27	after
A015n_PN1d_00002-13	25	いう	e27	A015n_PN1d_00002-14	11	下げ	e28	vague
A015n_PN1d_00002-15	32	引き下げ	e30	A015n_PN1d_00002-15	41	する	e31	equal
A015n_PN1d_00002-15	41	する	e31	A015n_PN1d_00002-15	43	発表	e32	after
A015n_PN1d_00002-15	43	発表	e32	A015n_PN1d_00002-16	5	実施	e33	before
A015n_PN1d_00002-17	18	更新	e34	A015n_PN1d_00002-19	10	発表	e35	after
A015n_PN1d_00002-19	10	発表	e35	A015n_PN1d_00002-19	54	増加	e36	after
A015n_PN1d_00002-20	14	推移	e40	A015n_PN1d_00002-21	3	発表	e41	before
A015n_PN1d_00002-22	16	なっ	e45	A015n_PN1d_00002-24	11	設置	e46	vague
A015n_PN1d_00002-24	11	設置	e46	A015n_PN1d_00002-24	38	販売	e47	contains
A015n_PN1d_00002-24	38	販売	e47	A015n_PN1d_00002-24	41	発表	e48	after
A015n_PN1d_00002-25	13	ダウンロード	e50	A015n_PN1d_00002-25	17	比べ	e51	vague
A015n_PN1d_00002-25	17	比べ	e51	A015n_PN1d_00002-25	22	かから	e52	before
A015n_PN1d_00002-25	22	かから	e52	A015n_PN1d_00002-27	38	減少	e53	vague
A015n_PN1d_00002-27	38	減少	e53	A015n_PN1d_00002-27	44	発表	e54	after
