event1_id	event2_id	reltype
e7	e9	contains
e9	e10	during
e12	e17	before
e17	e18	vague
e18	e20	after
e20	e21	before
e21	e22	before
e22	e24	during
e26	e34	vague
e34	e36	equal
e38	e41	contains
e41	e44	after
e44	e45	during
e45	e51	contains
e55	e61	before
e62	e66	contains
e66	e67	before
e67	e68	after
e68	e69	before
e69	e73	before
e77	e85	before
e85	e87	during
e87	e92	contains
e92	e97	contains
e101	e103	after
e103	e105	after
e105	e107	before
e121	e124	before
e124	e128	equal
e128	e129	vague
e131	e133	before
e136	e137	after
e137	e138	before
e149	e151	before
e151	e152	contains
e158	e159	during
e163	e166	before
e166	e169	vague
e169	e173	contains
e188	e191	before
e191	e193	after
