time_id	event_id	reltype
t1	e1	during
t1	e2	during
t1	e3	contains
t3	e4	contains
t3	e5	contains
t4	e4	contains
t4	e5	contains
t5	e4	contains
t5	e5	contains
t6	e4	contains
t6	e5	contains
t7	e4	contains
t7	e5	contains
t8	e15	after
t8	e16	after
t9	e28	vague
t9	e29	overlaps
t10	e28	vague
t10	e29	overlapped-by
t11	e28	vague
t11	e29	contains
t14	e32	contains
t15	e33	before
t15	e34	contains
t15	e35	contains
t16	e41	contains
t16	e42	contains
t16	e43	overlapped-by
t17	e41	before
t17	e42	before
t17	e43	overlaps
t18	e41	contains
t18	e42	contains
t18	e43	overlapped-by
t19	e50	contains
t19	e51	before
t19	e52	before
t20	e50	contains
t20	e51	contains
t20	e52	contains
t21	e50	contains
t21	e51	after
t21	e52	after
tnew1	e53	before
tnew2	e53	contains
t22	e58	contains
