event_sent_id	event_index	event_word	event_id
A027n_PN3e_00002-3	10	消費	e1
A027n_PN3e_00002-4	26	減っ	e2
A027n_PN3e_00002-5	13	落ちる	e3
A027n_PN3e_00002-5	16	健闘	e4
A027n_PN3e_00002-6	35	上っ	e5
A027n_PN3e_00002-7	13	うかがえる	e6
A027n_PN3e_00002-8	4	外さ	e7
A027n_PN3e_00002-10	9	務まり	e8
A027n_PN3e_00002-11	26	し	e9
A027n_PN3e_00002-11	30	なる	e10
A027n_PN3e_00002-11	36	説い	e11
A027n_PN3e_00002-12	7	始める	e12
A027n_PN3e_00002-12	10	多い	e13
A027n_PN3e_00002-12	15	独自	e14
A027n_PN3e_00002-12	17	開い	e15
A027n_PN3e_00002-13	3	受け	e16
A027n_PN3e_00002-13	11	卒業	e17
A027n_PN3e_00002-14	6	作成	e18
A027n_PN3e_00002-15	8	込め	e19
A027n_PN3e_00002-16	6	別々	e20
A027n_PN3e_00002-16	8	まとめ	e21
A027n_PN3e_00002-16	13	具体	e22
A027n_PN3e_00002-16	16	説明	e23
A027n_PN3e_00002-17	8	目立つ	e24
A027n_PN3e_00002-17	22	若い	e25
A027n_PN3e_00002-17	29	つけ	e26
A027n_PN3e_00002-17	37	熱い	e27
A027n_PN3e_00002-17	40	送っ	e28
A027n_PN3e_00002-18	5	写す	e29
A027n_PN3e_00002-21	10	開い	e30
A027n_PN3e_00002-21	20	合わせ	e31
A027n_PN3e_00002-21	22	募集	e32
A027n_PN3e_00002-21	37	発表	e33
A027n_PN3e_00002-22	34	選ば	e34
A027n_PN3e_00002-24	5	少なく	e35
A027n_PN3e_00002-24	6	なっ	e36
A027n_PN3e_00002-24	18	たたずむ	e37
A027n_PN3e_00002-24	23	とらえ	e38
A027n_PN3e_00002-24	31	包ま	e39
A027n_PN3e_00002-24	34	静か	e40
A027n_PN3e_00002-24	38	印象	e41
A027n_PN3e_00002-25	12	目立っ	e42
A027n_PN3e_00002-25	17	変わり	e43
A027n_PN3e_00002-25	21	上がっ	e44
A027n_PN3e_00002-25	32	高く	e45
A027n_PN3e_00002-25	33	評価	e46
A027n_PN3e_00002-26	1	未知	e47
A027n_PN3e_00002-28	13	役立つ	e48
A027n_PN3e_00002-28	16	満載	e49
A027n_PN3e_00002-28	30	始め	e50
A027n_PN3e_00002-29	13	進む	e51
A027n_PN3e_00002-29	19	役立つ	e52
A027n_PN3e_00002-29	22	まとめ	e53
A027n_PN3e_00002-29	26	応援	e54
A027n_PN3e_00002-29	29	作っ	e55
A027n_PN3e_00002-30	11	あしらい	e56
A027n_PN3e_00002-30	13	親しみ	e57
A027n_PN3e_00002-30	15	し	e58
A027n_PN3e_00002-31	16	楽しめる	e59
A027n_PN3e_00002-31	32	掲載	e60
A027n_PN3e_00002-31	36	盛り	e61
A027n_PN3e_00002-32	16	配布	e62
A027n_PN3e_00002-32	28	配る	e63
