time_sent_id	time_index	time_word	time_id	event_sent_id	event_index	event_word	event_id	reltype
A052n_PN2e_00004-8	20	八	t2	A052n_PN2e_00004-8	17	表明	e7	after
A052n_PN2e_00004-8	20	八	t2	A052n_PN2e_00004-8	23	正式	e8	contains
A052n_PN2e_00004-12	1	一	t3	A052n_PN2e_00004-12	14	雇わ	e16	contains
A052n_PN2e_00004-12	1	一	t3	A052n_PN2e_00004-12	23	始まっ	e17	contains
A052n_PN2e_00004-13	19	二	t4	A052n_PN2e_00004-13	8	出馬	e18	after
A052n_PN2e_00004-13	19	二	t4	A052n_PN2e_00004-13	14	雇わ	e19	after
A052n_PN2e_00004-13	19	二	t4	A052n_PN2e_00004-13	28	三	e20	contains
A052n_PN2e_00004-13	19	二	t4	A052n_PN2e_00004-13	37	得	e22	contains
A052n_PN2e_00004-20	1	三	t5	A052n_PN2e_00004-20	23	反する	e41	contains
A052n_PN2e_00004-20	1	三	t5	A052n_PN2e_00004-20	41	促し	e42	contains
A052n_PN2e_00004-20	1	三	t5	A052n_PN2e_00004-20	44	さ	e43	before
A052n_PN2e_00004-21	4	六	t6	A052n_PN2e_00004-21	27	し	e46	contains
A052n_PN2e_00004-21	4	六	t6	A052n_PN2e_00004-21	37	掲げ	e47	before
A052n_PN2e_00004-21	4	六	t6	A052n_PN2e_00004-21	39	戦う	e48	before
A052n_PN2e_00004-21	4	六	t6	A052n_PN2e_00004-21	46	飛ばし	e49	contains
A052n_PN2e_00004-21	4	六	t6	A052n_PN2e_00004-21	51	発覚	e50	contains
A052n_PN2e_00004-21	30	秋	t7	A052n_PN2e_00004-21	27	し	e46	after
A052n_PN2e_00004-21	30	秋	t7	A052n_PN2e_00004-21	37	掲げ	e47	contains
A052n_PN2e_00004-21	30	秋	t7	A052n_PN2e_00004-21	39	戦う	e48	contains
A052n_PN2e_00004-21	30	秋	t7	A052n_PN2e_00004-21	46	飛ばし	e49	after
A052n_PN2e_00004-21	30	秋	t7	A052n_PN2e_00004-21	51	発覚	e50	after
A052n_PN2e_00004-25	9	十	t9	A052n_PN2e_00004-25	25	要求	e54	during
A052n_PN2e_00004-25	9	十	t9	A052n_PN2e_00004-25	35	応じる	e55	contains
A052n_PN2e_00004-25	9	十	t9	A052n_PN2e_00004-25	38	ない	e56	contains
A052n_PN2e_00004-25	9	十	t9	A052n_PN2e_00004-25	43	し	e58	contains
A052n_PN2e_00004-26	7	来年	t10	A052n_PN2e_00004-26	11	予定	e59	contains
A052n_PN2e_00004-26	7	来年	t10	A052n_PN2e_00004-26	19	出馬	e60	contains
A052n_PN2e_00004-26	7	来年	t10	A052n_PN2e_00004-26	32	決め	e61	after
A052n_PN2e_00004-26	7	来年	t10	A052n_PN2e_00004-26	37	述べる	e62	after
A052n_PN2e_00004-26	7	来年	t10	A052n_PN2e_00004-26	39	とどまっ	e63	after
A052n_PN2e_00004-27	2	今年	t11	A052n_PN2e_00004-27	24	予測	e64	contains
A052n_PN2e_00004-27	2	今年	t11	A052n_PN2e_00004-27	31	出馬	e65	before
A052n_PN2e_00004-27	2	今年	t11	A052n_PN2e_00004-27	36	確実	e66	before
A052n_PN2e_00004-27	5	六	t12	A052n_PN2e_00004-27	24	予測	e64	contains
A052n_PN2e_00004-27	5	六	t12	A052n_PN2e_00004-27	31	出馬	e65	before
A052n_PN2e_00004-27	5	六	t12	A052n_PN2e_00004-27	36	確実	e66	before
A052n_PN2e_00004-29	8	十	t13	A052n_PN2e_00004-29	18	行う	e71	contains
A052n_PN2e_00004-29	8	十	t13	A052n_PN2e_00004-29	23	し	e73	after
A052n_PN2e_00004-34	9	十	t16	A052n_PN2e_00004-34	5	流れる	e74	during
A052n_PN2e_00004-34	9	十	t16	A052n_PN2e_00004-34	13	架け	e75	contains
A052n_PN2e_00004-34	9	十	t16	A052n_PN2e_00004-34	20	破壊	e76	before
A052n_PN2e_00004-34	9	十	t16	A052n_PN2e_00004-34	33	始まっ	e77	before
A052n_PN2e_00004-35	3	約	t17	A052n_PN2e_00004-35	23	知ら	e79	during
A052n_PN2e_00004-35	3	約	t17	A052n_PN2e_00004-35	35	現す	e81	before
A052n_PN2e_00004-35	12	二	t18	A052n_PN2e_00004-35	23	知ら	e79	during
A052n_PN2e_00004-35	12	二	t18	A052n_PN2e_00004-35	35	現す	e81	contains
A052n_PN2e_00004-37	6	一	t19	A052n_PN2e_00004-37	18	破壊	e85	contains
A052n_PN2e_00004-38	36	先月	t20	A052n_PN2e_00004-38	11	進め	e88	after
A052n_PN2e_00004-38	36	先月	t20	A052n_PN2e_00004-38	15	使わ	e89	after
A052n_PN2e_00004-38	36	先月	t20	A052n_PN2e_00004-38	45	行わ	e91	contains
