time_sent_id	time_index	time_word	time_id
A039n_PN3a_00003-1	9	４	t1
A039n_PN3a_00003-3	13	４	t2
A039n_PN3a_00003-5	1	今度	
A039n_PN3a_00003-5	6	１	t3
A039n_PN3a_00003-10	4	１	t4
A039n_PN3a_00003-14	3	４	t5
A039n_PN3a_00003-16	4	１	t6
A039n_PN3a_00003-19	15	従来	
A039n_PN3a_00003-20	14	２	t7
A039n_PN3a_00003-21	1	１	t8
A039n_PN3a_00003-26	5	前年	t9
A039n_PN3a_00003-30	16	何	t10
A039n_PN3a_00003-30	30	最初	
A039n_PN3a_00003-32	17	２	t11
A039n_PN3a_00003-33	2	１	t12
A039n_PN3a_00003-41	20	１	t13
A039n_PN3a_00003-41	30	５	t14
A039n_PN3a_00003-42	7	３	t15
A039n_PN3a_00003-42	12	１	t16
A039n_PN3a_00003-60	13	１	t17
A039n_PN3a_00003-61	33	将来	
A039n_PN3a_00003-64	2	当初	
A039n_PN3a_00003-64	36	前年	t18
A039n_PN3a_00003-65	1	前年	t19
A039n_PN3a_00003-72	8	３	t20
A039n_PN3a_00003-72	16	４	t21
A039n_PN3a_00003-73	5	従来	
A039n_PN3a_00003-74	7	現在	
